timestamp,symbol,spot,vix,strike,Call_GEX,Call_DEX,Call_OI,Call_IV,Put_GEX,Put_DEX,Put_OI,Put_IV,Net_GEX,Net_DEX,Charm,Cumulative_GEX,Total_OI,abs_gex
2025-08-28 13:32:30,SPX,6496.67,20.0,6380.0,63.10769587302334,60230.798552775654,620.0,0.29557644865047245,570.2154642449625,-13657.326437694785,8538.0,0.2951163577742987,-507.1077683719392,46573.47211508087,0.0,-507.1077683719392,9158.0,507.1077683719392
2025-08-28 13:32:30,SPX,6496.67,20.0,6385.0,77.79131494268026,66229.52630844741,684.0,0.28593027145267774,563.873197945266,-14973.292388360876,5723.0,0.2854849079661053,-486.08188300258576,51256.23392008654,4682.76180500567,-993.1896513745249,6407.0,486.08188300258576
2025-08-28 13:32:30,SPX,6496.67,20.0,6390.0,98.7651769219921,80107.00661407356,828.0,0.2761749970408304,297.1414271643859,-7023.674150914327,3606.0,0.2757444431873143,-198.3762502423938,73083.33246315923,21827.098543072687,-1191.5659016169188,4434.0,198.3762502423938
2025-08-28 13:32:30,SPX,6496.67,20.0,6395.0,45.35631588831178,40042.83280909535,412.0,0.26651616032520425,254.137938655857,-5874.112579659939,2865.0,0.26610084999565536,-208.78162276754523,34168.720229435414,-38914.61223372381,-1400.3475243844641,3277.0,208.78162276754523
2025-08-28 13:32:30,SPX,6496.67,20.0,6400.0,850.2487237994387,580507.9080802656,6031.0,0.25682067644572737,1972.4433449820986,-50228.76414996406,15609.0,0.2564218451880011,-1122.1946211826598,530279.1439303015,496110.4237008661,-2522.542145567124,21640.0,1122.1946211826598
2025-08-28 13:32:30,SPX,6496.67,20.0,6405.0,101.3053093755146,68309.76194754157,709.0,0.24709325804040994,305.3913250533076,-7219.155808057082,2557.0,0.2467111213075176,-204.086015677793,61090.60613948449,-469188.53779081703,-2726.628161244917,3266.0,204.086015677793
2025-08-28 13:32:30,SPX,6496.67,20.0,6410.0,161.2466298939039,93237.40813979076,974.0,0.23746369287606728,855.075166603891,-20031.361026833794,6455.0,0.23709818169925703,-693.8285367099871,73206.04711295696,12115.440973472476,-3420.456697954904,7429.0,693.8285367099871
2025-08-28 13:32:30,SPX,6496.67,20.0,6415.0,125.89191296347127,64756.20054140464,680.0,0.22781761417270627,398.8537988568431,-8783.875928093776,2986.0,0.22746867995898207,-272.96188589337186,55972.32461331087,-17233.722499646094,-3693.418583848276,3666.0,272.96188589337186
2025-08-28 13:32:30,SPX,6496.67,20.0,6420.0,358.89876127691906,156716.9271981034,1661.0,0.21833711319166604,531.441462613191,-12242.279502681306,3236.0,0.21800732215558177,-172.54270133627193,144474.64769542209,88502.32308211122,-3865.9612851845477,4897.0,172.54270133627193
2025-08-28 13:32:30,SPX,6496.67,20.0,6425.0,359.11147742973213,130620.32601659728,1402.0,0.20963405078823077,999.5669916782564,-24946.93196532156,4543.0,0.2093331088541344,-640.4555142485242,105673.39405127571,-38801.253644146374,-4506.416799433072,5945.0,640.4555142485242
2025-08-28 13:32:30,SPX,6496.67,20.0,6430.0,297.21341647967637,91624.1777749778,997.0,0.2013832504875109,652.8797887985161,-14335.138851682463,3223.0,0.20111377083581083,-355.6663723188397,77289.03892329533,-28384.35512798038,-4862.083171751911,4220.0,355.6663723188397
2025-08-28 13:32:30,SPX,6496.67,20.0,6435.0,167.213253907777,59088.69348833501,631.0,0.19279048331491,533.0119514256867,-11520.152391905736,2309.0,0.1925488330685568,-365.79869751790966,47568.541096429275,-29720.497826866056,-5227.8818692698205,2940.0,365.79869751790966
2025-08-28 13:32:30,SPX,6496.67,20.0,6440.0,739.1780469119899,196957.6194741413,2162.0,0.1838766361619486,1213.431884240117,-27983.081505504655,4194.0,0.18365958254549486,-474.253837328127,168974.53796863667,121405.99687220738,-5702.135706597947,6356.0,474.253837328127
2025-08-28 13:32:30,SPX,6496.67,20.0,6445.0,293.1863491071676,76870.98995776108,839.0,0.17466555990818694,776.0696947775411,-16591.96609802876,2491.0,0.174471397774684,-482.88334567037356,60279.02385973232,-108695.51410890435,-6185.019052268321,3330.0,482.88334567037356
2025-08-28 13:32:30,SPX,6496.67,20.0,6450.0,5324.310888385482,930290.0930383473,10838.0,0.16569514355904702,5472.977512004677,-144630.08682264003,12363.0,0.16552302296638027,-148.66662361919498,785660.0062157073,725380.982355975,-6333.685675887516,23201.0,148.66662361919498
2025-08-28 13:32:30,SPX,6496.67,20.0,6455.0,665.7049549539759,122830.18507809311,1393.0,0.157152125965097,749.1462626170236,-15317.410902053534,1762.0,0.15700472770757723,-83.44130766304772,107512.77417603957,-678147.2320396677,-6417.126983550564,3155.0,83.44130766304772
2025-08-28 13:32:30,SPX,6496.67,20.0,6460.0,1372.0994154686805,222233.64647143293,2539.0,0.14862282468850618,1132.060150581949,-24157.91838935792,2162.0,0.14849873663379984,240.03926488673142,198075.72808207502,90562.95390603544,-6177.087718663832,4701.0,240.03926488673142
2025-08-28 13:32:30,SPX,6496.67,20.0,6465.0,1650.7750307532588,210635.29761090508,2519.0,0.13982625457229375,1128.518550639203,-22060.122555102567,1807.0,0.13972291110185187,522.2564801140556,188575.1750558025,-9500.553026272508,-5654.831238549776,4326.0,522.2564801140556
2025-08-28 13:32:30,SPX,6496.67,20.0,6470.0,1715.1772932811323,183863.285967734,2193.0,0.13213465873071256,1956.7075915304492,-43641.339177879374,2509.0,0.1320528670080176,-241.53029824931696,140221.9467898546,-48353.228265947895,-5896.361536799092,4702.0,241.53029824931696
